Total,Start,End,c0,Re(c1),Im(c1),Re(c2),Im(c2),Re(c3),Im(c3),Re(c4),Im(c4),Re(c5),Im(c5),Re(c6),Im(c6)
43398,0,24,-2.072574359,-0.327883405,0.340836381,-0.068659837,0.258643049,0.135607283,0.080998411,0.0141557,0.001157863,-0.026685376,0.004407908,0.010182986,0.011588839
41277,0,24,-2.07003999,-0.387332858,0.21029823,-0.140071343,0.288783925,0.085234011,0.1425885,0.061657289,-0.01820986,-0.019192808,-0.031632466,-0.027056588,-0.001741802
